MySQL [yse]> select objid, ptrobs_min, ptrobs_max, ra, decl from release_20180221 where ra=0;
+-----------------------------+------------+------------+------+------------+
| objid                       | ptrobs_min | ptrobs_max | ra   | decl       |
+-----------------------------+------------+------------+------+------------+
| DDF_01_NONIa-0001_100006    |      95425 |      95507 |    0 | -45.524532 |
| DDF_01_NONIa-0001_101812    |      66025 |      66129 |    0 | -45.524532 |
| DDF_01_NONIa-0001_102128    |      82749 |      82823 |    0 | -45.524532 |
| DDF_01_NONIa-0001_103276    |      86717 |      86821 |    0 | -45.524532 |
| DDF_01_NONIa-0001_103844    |     101251 |     101354 |    0 | -45.524532 |
| DDF_01_NONIa-0001_105689    |     100256 |     100319 |    0 | -45.524532 |
| DDF_01_NONIa-0001_105807    |      83729 |      83803 |    0 | -45.524532 |
| DDF_01_NONIa-0001_106945    |      52569 |      52651 |    0 | -45.524532 |
| DDF_01_NONIa-0001_108467    |      89979 |      90072 |    0 | -45.524532 |
| DDF_01_NONIa-0001_108680    |      91470 |      91544 |    0 | -45.524532 |
| DDF_01_NONIa-0001_109144    |      10179 |      10272 |    0 | -45.524532 |
| DDF_01_NONIa-0001_110950    |      82955 |      83037 |    0 | -45.524532 |
| DDF_01_NONIa-0001_112235    |      46694 |      46787 |    0 | -45.524532 |
| DDF_01_NONIa-0001_114840    |      57683 |      57776 |    0 | -45.524532 |
| DDF_01_NONIa-0001_116994    |      39665 |      39768 |    0 | -45.524532 |
| DDF_01_NONIa-0001_117753    |      77076 |      77179 |    0 | -45.524532 |
| DDF_01_NONIa-0001_117863    |      84818 |      84897 |    0 | -45.524532 |
| DDF_01_NONIa-0001_119314    |      53831 |      53924 |    0 | -45.524532 |
| DDF_01_NONIa-0001_120123    |      55720 |      55813 |    0 | -45.524532 |
| DDF_01_NONIa-0001_12056     |      70182 |      70245 |    0 | -45.524532 |
| DDF_01_NONIa-0001_120849    |      89185 |      89278 |    0 | -45.524532 |
| DDF_01_NONIa-0001_123361    |      57909 |      57991 |    0 | -45.524532 |
| DDF_01_NONIa-0001_124626    |      70025 |      70099 |    0 | -45.524532 |
| DDF_01_NONIa-0001_124744    |      28378 |      28452 |    0 | -45.524532 |
| DDF_01_NONIa-0001_124874    |     105143 |     105206 |    0 | -45.524532 |
| DDF_01_NONIa-0001_126254    |     100882 |     100975 |    0 | -45.524532 |
| DDF_01_NONIa-0001_128554    |      53480 |      53583 |    0 | -45.524532 |
| DDF_01_NONIa-0001_129528    |     104125 |     104228 |    0 | -45.524532 |
| DDF_01_NONIa-0001_130025    |      76992 |      77074 |    0 | -45.524532 |
| DDF_01_NONIa-0001_130852    |      18311 |      18374 |    0 | -45.524532 |
| DDF_01_NONIa-0001_131631    |     103407 |     103470 |    0 | -45.524532 |
| DDF_01_NONIa-0001_133384    |      32780 |      32873 |    0 | -45.524532 |
| DDF_01_NONIa-0001_134840    |      24486 |      24549 |    0 | -45.524532 |
| DDF_01_NONIa-0001_135369    |      52083 |      52165 |    0 | -45.524532 |
| DDF_01_NONIa-0001_13600     |      70775 |      70849 |    0 | -45.524532 |
| DDF_01_NONIa-0001_136262    |     114504 |     114567 |    0 | -45.524532 |
| DDF_01_NONIa-0001_137810    |      42307 |      42400 |    0 | -45.524532 |
| DDF_01_NONIa-0001_138022    |     108882 |     108956 |    0 | -45.524532 |
| DDF_01_NONIa-0001_139087    |      11089 |      11152 |    0 | -45.524532 |
| DDF_01_NONIa-0001_139457    |      81952 |      82045 |    0 | -45.524532 |
| DDF_01_NONIa-0001_140369    |      35150 |      35270 |    0 | -45.524532 |
| DDF_01_NONIa-0001_142263    |      47359 |      47441 |    0 | -45.524532 |
| DDF_01_NONIa-0001_144042    |      14684 |      14766 |    0 | -45.524532 |
| DDF_01_NONIa-0001_144701    |      92932 |      93036 |    0 | -45.524532 |
| DDF_01_NONIa-0001_145792    |       2864 |       2938 |    0 | -45.524532 |
| DDF_01_NONIa-0001_146647    |      51295 |      51388 |    0 | -45.524532 |
| DDF_01_NONIa-0001_147862    |      90491 |      90570 |    0 | -45.524532 |
| DDF_01_NONIa-0001_148254    |      65853 |      65956 |    0 | -45.524532 |
| DDF_01_NONIa-0001_149432    |      91031 |      91110 |    0 | -45.524532 |
| DDF_01_NONIa-0001_149529    |      37030 |      37104 |    0 | -45.524532 |
| DDF_01_NONIa-0001_149562    |      99571 |      99653 |    0 | -45.524532 |
| DDF_01_NONIa-0001_15070     |      30237 |      30319 |    0 | -45.524532 |
| DDF_01_NONIa-0001_152750    |      95985 |      96089 |    0 | -45.524532 |
| DDF_01_NONIa-0001_153135    |       8857 |       8980 |    0 | -45.524532 |
| DDF_01_NONIa-0001_153506    |      21015 |      21089 |    0 | -45.524532 |
| DDF_01_NONIa-0001_153556    |       9201 |       9280 |    0 | -45.524532 |
| DDF_01_NONIa-0001_154633    |      17193 |      17316 |    0 | -45.524532 |
| DDF_01_NONIa-0001_155131    |        952 |       1034 |    0 | -45.524532 |
| DDF_01_NONIa-0001_156284    |      94760 |      94842 |    0 | -45.524532 |
| DDF_01_NONIa-0001_157516    |      37893 |      38013 |    0 | -45.524532 |
| DDF_01_NONIa-0001_157929    |      78573 |      78676 |    0 | -45.524532 |
| DDF_01_NONIa-0001_161081    |      50159 |      50262 |    0 | -45.524532 |
| DDF_01_NONIa-0001_161951    |      75165 |      75258 |    0 | -45.524532 |
| DDF_01_NONIa-0001_167416    |      96258 |      96362 |    0 | -45.524532 |
| DDF_01_NONIa-0001_167535    |      94024 |      94087 |    0 | -45.524532 |
| DDF_01_NONIa-0001_168970    |      46931 |      47013 |    0 | -45.524532 |
| DDF_01_NONIa-0001_169070    |      24807 |      24881 |    0 | -45.524532 |
| DDF_01_NONIa-0001_171007    |      51821 |      51924 |    0 | -45.524532 |
| DDF_01_NONIa-0001_17291     |      79541 |      79615 |    0 | -45.524532 |
| DDF_01_NONIa-0001_173352    |      47584 |      47647 |    0 | -45.524532 |
| DDF_01_NONIa-0001_17339     |     112609 |     112712 |    0 | -45.524532 |
| DDF_01_NONIa-0001_174109    |     110363 |     110483 |    0 | -45.524532 |
| DDF_01_NONIa-0001_175593    |       7542 |       7662 |    0 | -45.524532 |
| DDF_01_NONIa-0001_175674    |     112363 |     112442 |    0 | -45.524532 |
| DDF_01_NONIa-0001_178971    |      35403 |      35482 |    0 | -45.524532 |
| DDF_01_NONIa-0001_179801    |      91813 |      91895 |    0 | -45.524532 |
| DDF_01_NONIa-0001_179854    |      94307 |      94400 |    0 | -45.524532 |
| DDF_01_NONIa-0001_181375    |      10455 |      10518 |    0 | -45.524532 |
| DDF_01_NONIa-0001_182776    |      99312 |      99386 |    0 | -45.524532 |
| DDF_01_NONIa-0001_183161    |       8065 |       8168 |    0 | -45.524532 |
| DDF_01_NONIa-0001_183292    |      59261 |      59324 |    0 | -45.524532 |
| DDF_01_NONIa-0001_184719    |      69698 |      69761 |    0 | -45.524532 |
| DDF_01_NONIa-0001_18512     |      78005 |      78108 |    0 | -45.524532 |
| DDF_01_NONIa-0001_187020    |     104887 |     105010 |    0 | -45.524532 |
| DDF_01_NONIa-0001_187999    |      80602 |      80676 |    0 | -45.524532 |
| DDF_01_NONIa-0001_189221    |      53279 |      53342 |    0 | -45.524532 |
| DDF_01_NONIa-0001_190696    |      82133 |      82196 |    0 | -45.524532 |
| DDF_01_NONIa-0001_193448    |      44442 |      44505 |    0 | -45.524532 |
| DDF_01_NONIa-0001_195760    |      66594 |      66676 |    0 | -45.524532 |
| DDF_01_NONIa-0001_195814    |     112122 |     112196 |    0 | -45.524532 |
| DDF_01_NONIa-0001_198763    |      30131 |      30235 |    0 | -45.524532 |
| DDF_01_NONIa-0001_199630    |       9347 |       9426 |    0 | -45.524532 |
| DDF_01_NONIa-0001_20019     |      18863 |      18966 |    0 | -45.524532 |
| DDF_01_NONIa-0001_202202    |      26382 |      26445 |    0 | -45.524532 |
| DDF_01_NONIa-0001_202585    |      31630 |      31709 |    0 | -45.524532 |
| DDF_01_NONIa-0001_20263     |      64735 |      64838 |    0 | -45.524532 |
